own_pending_for_broadcast_,delivered_,pending_for_delivery_,acks_
115,818,216,1032
115,822,214,1034
115,839,198,1018
115,839,206,1026
115,839,210,1047
115,853,196,1033
115,853,197,1034
115,853,197,1048
115,854,197,1049
115,859,192,1044
115,859,196,1053
115,859,197,1054
115,859,201,1058
115,865,195,1052
115,865,195,1052
115,865,195,1052
115,865,195,1052
115,865,195,1052
115,865,196,1053
115,865,196,1053
115,865,197,1054
115,865,198,1055
115,865,198,1055
115,865,198,1055
115,865,199,1062
115,865,207,1070
115,872,200,1063
115,872,201,1071
115,877,204,1074
115,877,204,1079
115,899,184,1074
115,903,180,1070
115,903,185,1086
115,907,181,1082
115,907,188,1093
115,916,180,1085
115,916,184,1098
115,929,171,1085
115,929,171,1085
115,929,172,1086
115,929,172,1086
115,929,174,1101
115,937,167,1094
115,937,167,1094
115,937,168,1103
115,942,163,1103
115,943,163,1104
115,945,164,1107
115,951,162,1105
115,951,164,1113
114,956,161,1113
113,966,154,1109
113,966,154,1111
113,966,154,1111
113,966,161,1121
113,966,165,1125
113,966,166,1126
113,966,166,1126
113,966,166,1126
113,966,166,1126
113,966,168,1130
113,968,166,1128
113,968,166,1128
113,968,166,1128
113,968,166,1128
113,968,170,1132
113,968,171,1133
113,968,171,1133
113,968,178,1140
113,968,178,1140
113,968,180,1142
113,968,181,1143
113,968,182,1144
113,968,182,1144
113,968,182,1144
113,968,183,1145
113,968,189,1151
113,968,190,1154
113,968,191,1155
113,968,191,1155
113,968,191,1155
113,968,197,1161
113,970,199,1165
113,971,201,1167
113,971,201,1167
113,971,202,1169
113,976,198,1165
113,976,199,1167
113,976,199,1167
113,976,200,1168
113,976,200,1168
113,976,200,1168
113,976,205,1177
113,981,200,1172
113,981,200,1172
113,981,202,1179
113,986,197,1174
113,986,197,1174
113,986,197,1174
113,986,197,1174
113,986,198,1175
113,986,198,1175
113,986,199,1176
113,986,199,1176
113,986,199,1176
113,986,201,1183
113,992,206,1188
113,992,206,1188
113,992,206,1188
113,992,207,1189
113,992,212,1194
113,992,212,1200
113,1009,198,1186
113,1009,198,1203
113,1017,191,1196
113,1017,191,1196
113,1017,197,1210
113,1017,197,1210
113,1017,199,1212
113,1017,199,1212
113,1017,203,1216
113,1030,190,1203
113,1030,192,1217
113,1035,188,1219
113,1039,184,1215
113,1039,184,1215
113,1039,190,1221
113,1039,190,1225
113,1040,189,1224
113,1040,190,1225
113,1040,202,1237
113,1040,202,1238
113,1046,198,1234
113,1046,199,1235
113,1046,201,1237
113,1046,201,1237
113,1046,201,1237
113,1046,202,1244
113,1049,199,1241
113,1049,200,1242
113,1049,200,1242
113,1049,200,1242
113,1049,200,1242
113,1049,202,1247
113,1053,199,1244
113,1053,199,1244
113,1053,199,1244
113,1053,200,1245
113,1053,200,1245
113,1053,200,1245
113,1053,200,1249
113,1054,200,1249
113,1054,210,1259
113,1054,211,1260
113,1054,226,1275
113,1054,226,1275
113,1054,226,1275
113,1054,226,1275
113,1054,227,1276
113,1054,227,1276
113,1054,227,1276
113,1054,227,1276
113,1054,227,1276
113,1054,227,1276
113,1054,227,1276
113,1054,227,1276
113,1054,230,1280
113,1054,243,1293
113,1055,242,1292
113,1055,242,1292
113,1055,242,1292
113,1055,242,1292
113,1055,244,1294
113,1055,245,1295
113,1055,245,1295
113,1055,245,1295
113,1055,245,1295
113,1055,251,1301
113,1055,252,1302
113,1055,253,1303
113,1055,253,1303
113,1055,253,1303
113,1055,253,1304
113,1059,249,1300
113,1059,250,1301
113,1059,250,1301
113,1059,250,1301
113,1059,250,1301
113,1059,250,1301
113,1059,255,1310
113,1062,254,1309
113,1062,257,1315
113,1068,253,1311
113,1068,254,1312
113,1068,256,1320
113,1082,243,1307
113,1082,246,1324
113,1089,239,1317
113,1089,239,1317
113,1089,239,1317
113,1089,239,1317
113,1089,240,1318
113,1089,240,1318
113,1089,240,1318
113,1089,240,1318
113,1089,240,1318
113,1089,241,1319
113,1089,247,1325
113,1089,248,1326
113,1089,248,1326
113,1089,252,1337
113,1093,248,1335
113,1095,246,1335
113,1095,246,1335
113,1095,246,1335
113,1095,246,1335
113,1095,246,1335
113,1095,246,1335
113,1095,247,1336
113,1095,253,1342
113,1095,254,1343
113,1095,260,1349
113,1098,258,1347
113,1098,261,1355
113,1100,259,1353
113,1100,262,1356
113,1100,262,1356
113,1100,270,1364
113,1100,270,1364
113,1100,274,1370
113,1103,273,1369
113,1103,273,1369
113,1103,275,1371
113,1103,275,1371
113,1103,275,1373
113,1107,272,1370
113,1107,274,1372
113,1107,274,1372
113,1107,275,1378
112,1127,265,1387
111,1133,260,1382
111,1133,260,1383
111,1133,261,1384
111,1133,262,1391
111,1139,256,1385
111,1139,257,1386
111,1139,260,1389
111,1139,260,1393
111,1142,259,1392
111,1142,259,1392
111,1142,259,1392
111,1142,259,1392
111,1142,265,1398
111,1142,265,1399
111,1142,265,1399
111,1142,271,1405
111,1142,272,1406
111,1142,273,1411
111,1146,269,1407
111,1146,272,1410
111,1146,273,1411
111,1146,274,1412
111,1146,274,1415
111,1151,269,1416
111,1163,258,1405
111,1163,259,1410
111,1163,259,1410
111,1163,259,1410
111,1163,259,1410
111,1163,259,1418
111,1168,254,1413
111,1168,254,1413
111,1171,252,1411
111,1171,259,1418
111,1171,259,1418
111,1171,259,1418
111,1171,259,1418
111,1171,259,1418
111,1171,260,1424
111,1177,261,1428
111,1189,249,1416
111,1189,249,1416
111,1189,249,1416
111,1189,252,1437
111,1203,241,1426
111,1203,241,1440
111,1216,229,1441
111,1231,217,1443
111,1233,215,1441
111,1233,216,1443
111,1236,213,1440
111,1236,213,1440
111,1236,213,1440
111,1236,217,1444
111,1237,217,1444
111,1237,218,1451
111,1274,182,1427
111,1290,169,1414
111,1290,170,1416
111,1290,171,1417
111,1290,172,1458
111,1308,155,1441
111,1308,155,1441
111,1308,155,1441
111,1308,156,1442
111,1308,156,1442
111,1308,157,1443
111,1308,157,1443
111,1308,157,1443
111,1308,157,1443
111,1308,160,1461
111,1309,159,1460
111,1309,159,1464
111,1319,150,1455
111,1319,150,1455
111,1319,150,1455
111,1319,150,1455
111,1319,150,1455
111,1319,150,1455
111,1319,150,1455
111,1319,150,1455
111,1319,156,1461
111,1319,156,1461
111,1319,156,1461
111,1319,167,1482
111,1323,164,1479
111,1323,165,1480
111,1323,165,1480
111,1323,165,1480
111,1323,169,1487
111,1324,169,1487
111,1324,169,1487
111,1324,169,1487
111,1324,176,1494
111,1324,176,1494
111,1324,176,1494
111,1324,176,1494
111,1324,177,1495
111,1324,177,1495
111,1324,178,1497
111,1326,177,1499
111,1352,152,1474
111,1352,152,1474
111,1352,155,1503
111,1352,158,1506
111,1353,158,1506
111,1353,158,1506
111,1353,158,1506
111,1353,158,1506
111,1353,158,1506
111,1353,158,1506
111,1353,158,1506
111,1353,158,1506
111,1353,158,1506
111,1353,158,1506
111,1353,158,1506
111,1353,158,1506
111,1353,160,1508
111,1353,161,1509
111,1353,161,1509
111,1353,176,1525
111,1354,175,1524
111,1354,175,1524
111,1354,176,1525
111,1354,177,1526
111,1354,178,1527
111,1354,178,1527
111,1354,179,1528
111,1354,196,1546
111,1357,193,1543
111,1357,194,1544
111,1357,194,1544
111,1357,194,1544
111,1357,194,1544
111,1357,194,1547
111,1357,195,1548
111,1357,195,1548
111,1357,195,1548
111,1357,197,1550
111,1357,211,1564
111,1359,210,1563
111,1359,210,1563
111,1359,219,1574
111,1367,212,1567
111,1367,212,1567
111,1367,213,1568
111,1367,213,1572
111,1372,210,1574
111,1375,213,1581
111,1376,213,1581
111,1376,213,1581
111,1376,213,1581
111,1376,213,1585
111,1380,209,1581
111,1380,209,1581
111,1380,210,1582
111,1380,210,1582
111,1380,216,1588
111,1380,216,1588
111,1380,216,1588
111,1380,216,1588
111,1380,216,1588
111,1380,216,1588
111,1380,216,1588
111,1380,218,1590
111,1380,218,1590
111,1380,218,1590
111,1380,221,1594
111,1380,228,1601
111,1380,229,1602
111,1380,229,1602
111,1380,231,1607
111,1380,231,1607
111,1380,235,1611
111,1380,235,1611
111,1380,235,1611
111,1380,235,1611
111,1380,241,1617
111,1380,242,1618
111,1380,249,1625
111,1380,250,1626
111,1380,250,1626
111,1380,250,1626
111,1380,250,1626
111,1380,257,1633
111,1380,257,1633
111,1380,257,1633
111,1380,257,1633
111,1380,257,1633
111,1380,260,1636
111,1380,263,1639
111,1380,264,1640
111,1380,264,1640
111,1380,264,1640
111,1380,264,1640
111,1380,268,1644
111,1380,268,1644
111,1380,269,1645
111,1380,269,1645
111,1380,269,1645
111,1380,272,1648
111,1381,279,1656
109,1406,259,1642
109,1409,256,1660
109,1414,252,1656
109,1414,253,1657
109,1414,253,1657
109,1414,254,1658
109,1414,254,1658
109,1414,258,1662
109,1415,259,1663
109,1415,259,1670
109,1415,260,1671
109,1415,260,1671
109,1417,259,1672
109,1425,252,1665
109,1425,252,1665
109,1425,252,1665
109,1425,252,1665
109,1425,266,1679
109,1425,266,1679
109,1425,266,1679
109,1425,266,1687
109,1432,259,1687
109,1438,253,1681
109,1438,253,1687
109,1441,251,1688
109,1446,246,1683
109,1446,246,1683
109,1446,246,1683
109,1446,249,1686
109,1446,250,1687
109,1446,250,1692
109,1449,247,1689
109,1449,249,1694
109,1449,250,1695
109,1449,250,1695
109,1449,250,1695
109,1449,250,1695
109,1449,251,1696
109,1449,255,1700
109,1449,255,1700
109,1449,255,1700
109,1449,255,1700
109,1449,257,1702
109,1456,250,1695
109,1456,250,1695
109,1456,250,1695
109,1456,250,1695
109,1456,251,1703
109,1476,236,1708
109,1482,232,1704
109,1482,232,1704
109,1482,232,1704
109,1482,233,1705
109,1482,239,1711
109,1482,240,1712
109,1482,240,1712
109,1482,240,1712
109,1482,240,1712
109,1482,240,1712
109,1482,240,1712
109,1482,242,1714
109,1482,242,1714
109,1482,242,1714
109,1482,246,1724
109,1482,246,1724
109,1482,246,1724
109,1482,248,1726
109,1487,244,1722
109,1487,245,1728
109,1495,237,1720
109,1495,237,1720
109,1495,238,1721
109,1495,240,1731
109,1496,253,1744
109,1496,255,1746
109,1496,255,1746
109,1496,256,1748
109,1505,247,1739
109,1505,247,1739
109,1505,247,1739
109,1505,248,1740
109,1505,258,1759
109,1508,255,1756
109,1508,255,1756
109,1508,255,1756
109,1508,255,1756
109,1508,256,1757
109,1508,257,1758
109,1508,257,1758
109,1508,257,1758
109,1508,258,1759
109,1508,258,1762
109,1518,249,1753
109,1518,249,1753
109,1518,249,1753
109,1518,249,1753
109,1518,249,1753
109,1518,254,1758
109,1518,259,1773
109,1531,247,1766
109,1535,243,1762
109,1535,243,1762
109,1535,243,1762
109,1535,243,1762
109,1535,243,1762
109,1535,243,1762
109,1535,243,1762
109,1535,243,1762
109,1535,243,1762
109,1535,245,1764
109,1535,245,1764
109,1535,245,1773
109,1539,241,1769
109,1539,242,1777
109,1540,256,1792
109,1540,266,1802
109,1540,266,1802
109,1540,266,1802
109,1540,270,1806
109,1540,273,1809
109,1542,272,1808
109,1542,272,1810
109,1549,265,1803
109,1549,265,1803
109,1549,266,1804
109,1549,267,1812
109,1572,244,1789
109,1572,244,1789
109,1572,244,1789
109,1572,246,1814
109,1582,236,1804
109,1582,236,1804
109,1582,239,1817
109,1584,237,1815
109,1584,238,1816
109,1584,238,1816
109,1584,238,1816
109,1584,239,1817
109,1584,239,1817
109,1584,239,1817
109,1584,239,1817
109,1584,239,1817
109,1584,240,1818
109,1584,255,1835
109,1592,247,1827
109,1592,247,1827
109,1592,248,1828
109,1592,248,1828
109,1592,248,1828
109,1592,248,1828
109,1592,248,1828
109,1592,248,1828
109,1592,249,1829
109,1592,249,1829
109,1592,249,1829
109,1592,249,1829
109,1592,249,1829
109,1592,250,1830
109,1592,250,1830
109,1592,250,1830
109,1592,254,1842
109,1603,243,1831
109,1603,243,1831
109,1603,252,1850
109,1603,253,1851
109,1603,253,1851
109,1603,253,1851
109,1603,253,1851
109,1603,253,1851
109,1603,253,1851
109,1603,260,1859
109,1606,257,1856
109,1606,257,1856
109,1606,257,1856
109,1606,257,1856
109,1606,257,1856
109,1606,257,1856
109,1606,257,1856
109,1606,265,1864
109,1606,265,1864
109,1606,265,1864
109,1606,265,1864
109,1606,268,1867
109,1606,269,1868
109,1606,269,1868
109,1606,278,1879
109,1607,277,1878
109,1607,282,1883
109,1607,282,1883
109,1607,285,1886
109,1607,285,1888
109,1613,279,1882
109,1613,280,1883
109,1613,287,1890
109,1613,287,1890
109,1613,287,1896
109,1616,285,1894
109,1616,285,1894
109,1616,285,1894
109,1616,285,1894
109,1616,285,1894
109,1616,286,1898
109,1616,291,1903
109,1616,292,1904
109,1616,292,1904
109,1616,294,1906
109,1616,295,1907
109,1616,295,1907
109,1616,295,1907
109,1616,296,1908
109,1616,296,1908
109,1616,296,1908
109,1616,301,1913
109,1616,301,1913
109,1616,301,1913
109,1616,305,1917
109,1616,305,1917
109,1632,289,1901
109,1632,289,1901
109,1632,290,1902
109,1632,291,1913
109,1638,286,1908
109,1638,286,1908
109,1638,295,1917
109,1638,298,1920
109,1638,298,1920
109,1638,298,1920
109,1638,304,1926
109,1640,302,1924
109,1640,304,1926
109,1640,304,1926
109,1640,304,1926
109,1640,304,1926
109,1640,305,1927
109,1640,306,1928
109,1640,306,1928
109,1640,310,1932
109,1640,310,1932
109,1640,310,1932
109,1640,310,1932
109,1640,311,1933
109,1640,311,1933
109,1640,311,1933
109,1640,311,1933
109,1640,321,1943
109,1640,321,1943
109,1640,322,1944
109,1640,326,1948
109,1640,326,1948
109,1640,326,1948
109,1640,331,1967
109,1651,321,1957
109,1651,322,1969
