own_pending_for_broadcast_,pending_for_delivery_,delivered_,acks_
103,254,2,254
103,254,2,254
103,254,2,254
103,254,2,254
103,254,2,254
103,254,2,254
103,254,2,254
103,255,2,255
103,255,2,255
103,261,2,261
103,262,2,262
103,259,1,259
103,260,1,260
103,260,1,260
103,261,1,261
103,267,1,267
103,267,1,267
103,267,1,267
103,263,1,263
103,270,1,270
103,271,1,271
103,272,1,272
103,274,1,274
103,274,1,274
103,274,1,274
103,279,1,279
103,279,1,279
103,281,1,281
103,281,1,281
103,281,1,281
103,281,1,281
103,281,1,281
103,283,1,283
103,274,0,274
103,278,0,278
103,276,1,276
103,278,1,278
103,274,0,274
103,274,0,274
103,274,0,274
103,274,0,274
103,275,0,275
103,275,0,275
103,275,0,275
103,279,0,279
103,275,1,275
103,278,1,278
103,282,1,282
103,282,1,282
103,281,1,281
103,279,1,279
103,279,1,279
103,280,1,280
103,280,1,280
103,288,1,288
103,287,2,287
103,281,5,281
103,278,4,278
103,280,4,280
103,281,4,281
103,282,4,282
103,283,4,283
102,268,5,267
102,269,5,269
